,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
256798,0.66550964,-0.00040951115,-1.1211494,0.0010440141,-0.00019908651,-0.6210479,0.00078283594,-0.0002943293,0.00041067734,-0.00041519283,0.8107714,-0.09483239,2.6182144,2.5793755,-0.00011429802,2.9565663e-06,-5.4747627e-05,-0.0004901148,-0.0008148292,0.20455222,0.0004386983,-6.4900196e-06,6.6576475e-05,0.6480352,0.09996875,0.00023756681,-0.00077132694,0.00033375484,0.00013634902,-0.00052904256,0.0005077506,0.7443713
437241,0.20584382,-0.0005252049,0.92058563,-0.00034293655,0.00036793502,2.7174304,-0.003285974,-0.0014315424,0.0028321329,-1.4126327e-06,1.0546753,2.1553826,-0.9615651,0.11582736,0.0024670206,0.00082712824,0.0010966313,0.0026840188,-0.0011344475,0.5235069,0.0019594533,-0.0016470448,-0.0006565506,-1.2782089,0.9448209,-0.0022348587,0.0023718881,0.0030967738,-0.00040321657,0.00064618874,-0.0023173844,1.7828944
181269,-0.27282342,0.00035646468,-1.0807587,0.0009015664,6.726103e-05,-0.66749614,0.00022851863,-0.0004967425,0.00033834678,-0.00049098826,0.9082486,0.3463295,0.13829328,-0.077305734,-0.00024933962,-0.0004407375,-0.00054872513,-0.00029657528,-0.0006465386,0.11121321,0.00090651395,-0.00014261954,-0.0007636221,2.5077949,1.6077493,0.001015823,-0.0014599718,6.1685445e-05,-0.000569412,-0.00089995476,0.00074653013,0.41085526
229696,0.083272286,1.770007e-05,-1.5288019,0.0014717185,9.650972e-05,-0.901648,-0.00030068908,-0.00084254285,0.0006470615,0.00061183644,0.30993974,-0.5730567,0.692721,-1.1019315,-0.00044559632,-1.0781056e-05,-0.00015500185,-0.00029282895,-0.001422249,1.0110519,0.00073179096,-0.0005659901,0.00024924666,2.661036,-0.036353506,0.00077254255,-0.001429994,-0.000277272,-0.00024298474,-0.0011968516,0.0010722275,0.12273122
224967,0.8919507,-0.0012152583,-0.62510604,0.0010531143,-0.00084823417,-0.71289223,-0.0020512824,-0.0011954423,0.0004651968,0.0017605962,-0.91119117,-0.22967263,-1.9836786,1.4336973,0.0008131227,0.0027915803,0.00059416454,-0.00041597316,-0.0002396182,-0.6409964,0.0020408586,0.00016640578,0.00048652713,0.73312354,0.35540146,0.0011891794,-0.0011641609,8.011142e-05,0.00021593212,-0.0014639836,0.0016221654,1.3082216
104674,-0.31121317,-0.0009715936,-0.72260636,-0.0016232051,-0.0003231839,-0.6022873,-0.0042530596,-0.00029290098,0.0018059383,0.00090243795,1.6047077,1.2110821,-0.36760768,-0.93180645,0.00065114564,-0.000565863,0.00096299703,0.00093120465,-0.0008500555,0.69316715,0.0026717011,-0.0005299801,-0.00013877566,1.042011,2.538639,-0.0007014698,0.0008982153,0.0014835667,-0.000961695,0.0001562752,-0.0017203178,-1.3787947
274677,-0.9412516,-0.0029503128,0.7592327,-0.0003921294,-0.000826645,-0.46417543,-0.0068724044,8.434095e-05,0.0020877402,0.0056151357,-0.5050716,0.9506832,0.067485675,1.1886379,0.0016324123,0.0030562005,0.0006066827,0.0043455097,-0.0025410904,-0.30869028,0.0030520912,-0.0020847076,0.000115210874,-0.053789154,0.8384229,-0.0009878506,-0.0009829513,0.0023639614,0.001105133,-0.0019141443,0.0005055509,-0.980989
70232,0.8744526,-0.0005448802,-0.3955955,-0.0003043253,0.00018813627,-0.2790605,0.0024623002,0.0013846775,-0.0012679462,-0.0025381853,0.16268285,0.5012212,1.0945734,1.8612937,-0.001098747,-0.0007228438,-0.0010334649,-0.0003038395,0.0030245855,0.012924617,0.00065884256,0.00067479815,-0.00067058584,0.4915473,-0.70916766,-0.00014240171,-0.0020658406,-0.0013490147,-0.00022978753,-3.0172558e-05,0.00019219476,-1.6690798
492688,-0.089215636,-0.01130535,-0.88411784,-0.0004234247,-0.002421507,1.9772797,0.003744457,0.00010953604,-0.0010508928,-0.00079432526,-0.36359996,-0.3235724,-0.7444663,0.19812447,-0.0035885903,-0.0005948863,0.00049728435,-0.0018112283,0.005567889,0.8134,0.0044427547,7.825243e-05,0.0012942922,0.13108522,-1.2457279,0.00061904336,0.00011367185,0.0009044982,-0.00043991394,-0.0040641,-0.0010813366,3.461193
176483,-0.18051575,-0.0008054473,-0.1739256,0.00092279067,-0.00017154677,-0.56940246,0.00064809306,-0.00018540636,0.00022490874,-8.54036e-05,0.7650245,1.8000779,0.22889072,-1.1853193,-0.00048538556,-0.00013237474,0.00019340862,-0.0005451387,-0.00062083185,-0.5180978,0.00025315752,-0.00032119855,0.00017419616,-0.40952146,-0.74779326,0.0004791472,-0.00039615753,0.00012872985,-1.2079813e-05,-0.00038292824,0.00040797278,0.3829915
138487,-0.2506613,-0.0001605672,1.3116407,-0.0022739233,-0.001396829,1.3182044,-0.011641728,-0.0019200097,-0.0021352025,0.004771575,-0.747079,0.18089539,-1.3120322,-0.22476982,0.002101926,0.00034094858,-0.008399719,0.0028077664,0.0026529676,0.05036084,0.0019570368,-0.0038561276,-0.0012197106,0.08211284,0.55623716,0.0026147766,-0.0028104964,-0.001658364,-0.004732938,-0.0005548524,3.12542e-05,-0.88478833
